,Aktywa razem/Kapitał własnyj (%),Wskaźnik rotacji kapitału obrotowego (x),Kapitał obrotowy,Obrót aktywów bieżących (x),Gotówka netto,Stopa zwrotu z kapitału własnego (ROE) (%),Kapitał własny ogółem,Wskaźnik rotacji aktywów (x),Operacyjny wskaźnik rentowności aktywów (%),Zwrot z kapitału zaangażowanego (%),into_default,Wiek firmy (lata)
36654,116.68,3.79,3091808.43,3.07,1039794.0,17.93,4382010.0,2.29,27.9,32.55,0,10.0
36655,334.9,19.81,596404.31,6.6,-525720.0,61.04,568097.0,6.21,25.06,67.13,0,14.0
36656,123.83,3.3,3515043.43,2.4,807993.0,11.38,5686237.0,1.65,9.61,11.84,0,20.0
36657,117.17,1.62,7275784.18,1.31,305596.0,20.62,10431636.0,0.97,19.1,22.34,0,21.0
36658,187.64,14.4,810941.88,5.61,-2243504.0,-0.79,3497376.0,1.78,-0.31,-0.38,1,21.0
36659,109.76,1.63,7210228.69,1.49,5412205.0,14.12,11209999.0,0.96,15.98,16.93,0,17.0
36660,154.08,3.19,3690335.29,2.11,-266004.0,37.34,3886464.0,1.96,24.65,36.05,0,17.0
36661,235.53,4.25,2768112.3,1.49,-6722235.0,61.12,4976285.0,1.0,32.72,58.36,0,10.0
36662,116.06,4.07,2847644.12,2.4,1622264.0,3.28,16965157.0,0.59,2.89,3.21,0,20.0
36663,110.01,2.22,5320619.13,1.94,50126.0,24.28,7703477.0,1.39,27.88,30.64,0,9.0
36664,298.68,4.0,2934230.44,0.98,-6217437.0,27.84,4548902.0,0.86,12.29,36.72,0,18.0
36665,208.34,175.32,67258.08,17.2,-788100.0,53.73,727057.0,7.78,32.73,55.29,0,18.0
36666,161.75,37.08,271408.92,5.19,-1368521.0,25.5,2699189.0,2.3,19.14,30.96,0,20.0
36667,228.0,7.43,1582784.21,3.26,-2572736.0,5.03,2084660.0,2.47,2.95,5.14,1,21.0
36668,154.74,4.31,2581865.55,2.65,-1221398.0,16.51,2958718.0,2.43,13.05,20.2,0,18.0
36669,169.75,13.14,895310.69,6.92,-672185.0,43.71,1253211.0,5.53,36.85,59.26,1,11.0
36670,1339.46,15.31,763611.69,5.56,-1760548.0,40.49,158060.0,5.52,5.69,15.43,0,7.0
36671,401.88,7.78,1503120.17,1.83,-4399352.0,11.34,1703650.0,1.71,3.66,12.88,0,21.0
36672,206.13,8.12,1449792.65,2.82,-1879534.0,5.74,2563970.0,2.23,5.15,10.61,0,20.0
36673,138.74,2.38,4603211.37,0.62,1005440.0,4.82,33522883.0,0.24,2.34,3.25,0,20.0
36674,216.81,6.79,1738699.65,3.21,-1956260.0,97.16,1701261.0,3.2,55.73,117.58,0,14.0
36675,180.72,6.4,1841801.42,3.47,-541518.0,38.33,1926189.0,3.38,27.95,50.52,0,15.0
36676,166.0,6.16,1886752.52,1.4,-585303.0,3.58,11210509.0,0.62,0.97,1.48,0,20.0
36677,144.35,17.45,675157.53,5.95,-650210.0,28.41,3009067.0,2.71,22.17,31.69,0,14.0
36678,113.63,3.56,3262821.52,2.28,-225895.0,15.15,6667438.0,1.53,13.85,18.25,0,11.0
36679,159.72,8.57,1294065.77,4.45,-1201184.0,56.85,2010255.0,3.45,37.17,59.37,0,4.0
36680,160.9,-15.07,-755397.22,6.01,-3502219.0,14.71,5895008.0,1.2,11.74,16.28,1,21.0
36681,539.26,29.95,393217.42,5.21,-1868884.0,85.7,425253.0,5.13,18.87,101.73,0,9.0
36682,113.94,1.27,9277455.41,1.15,7441548.0,26.48,9285699.0,1.11,24.89,27.42,0,21.0
36683,247.05,-21.12,-500012.98,2.36,-3541827.0,20.57,3411392.0,1.23,12.12,28.76,0,17.0
36684,293.79,23.59,499351.52,6.24,-1370881.0,95.96,716581.0,5.59,40.32,118.47,0,15.0
36685,273.23,579.23,20331.76,3.5,-3341707.0,21.51,1928086.0,2.23,12.53,34.24,0,12.0
36686,109.9,2.1,5486042.6,1.87,3532729.0,23.73,7003379.0,1.5,24.93,27.39,0,11.0
36687,271.66,4.5,2611093.8,1.31,-6767607.0,8.41,4148261.0,1.04,4.82,11.07,0,19.0
36688,208.02,11.99,977054.65,5.12,-1572479.0,10.8,1581902.0,3.56,7.12,11.84,0,21.0
36689,128.9,3.07,3833864.01,2.33,2737995.0,77.75,4192529.0,2.17,71.88,92.65,0,21.0
