,Aktywa razem/Kapitał własnyj (%),Wskaźnik rotacji kapitału obrotowego (x),Kapitał obrotowy,Obrót aktywów bieżących (x),Gotówka netto,Stopa zwrotu z kapitału własnego (ROE) (%),Kapitał własny ogółem,Wskaźnik rotacji aktywów (x),Operacyjny wskaźnik rentowności aktywów (%),Zwrot z kapitału zaangażowanego (%),into_default,Wiek firmy (lata)
0,358.75,28.49,175260.06,6.5,-499188.0,86.43,229036.0,6.07,24.6,88.26,1,21.0
1,135.14,3.44,1443160.77,2.21,-375261.0,1.4,2912409.0,1.26,0.99,1.24,0,19.0
2,185.0,34.28,145180.76,10.37,-334725.0,56.12,393612.0,6.83,38.62,71.44,0,21.0
3,264.02,9.96,501490.69,3.5,-926677.0,37.13,564685.0,3.35,14.08,37.17,0,20.0
4,213.05,7.16,648799.84,2.81,-3423921.0,13.07,3776884.0,0.58,9.38,10.71,0,20.0
5,309.6,3.03,1649278.73,1.76,-2883623.0,9.31,1375071.0,1.17,7.42,10.26,0,17.0
6,247.3,5.31,937679.77,2.2,-1357415.0,4.45,921095.0,2.19,4.77,11.4,0,20.0
7,144.66,3.26,1531656.52,2.16,-781282.0,21.69,1748701.0,1.97,20.99,30.36,0,7.0
8,448.84,-133.72,-37156.62,9.39,-850839.0,337.88,243789.0,4.54,76.74,159.0,0,16.0
9,201.64,6.64,719028.25,2.27,-2003827.0,4.96,2108980.0,1.12,4.17,6.19,0,7.0
10,151.19,5.14,968725.15,3.26,-326342.0,10.92,1094546.0,3.01,11.52,17.42,0,11.0
11,111.44,2.05,2425160.94,1.75,1965279.0,0.0,3627420.0,1.23,16.6,18.5,0,20.0
12,128.9,5.6,882092.87,1.41,-867.0,1.75,9035819.0,0.42,-0.48,-0.62,0,21.0
13,113.0,4.53,1100902.51,3.93,428167.0,59.66,1289185.0,3.42,66.12,74.71,0,20.0
14,141.92,2.8,1739403.03,2.06,-309082.0,6.46,2541095.0,1.35,5.97,7.24,0,19.0
15,133.36,-66.9,-71104.91,5.4,-576174.0,14.54,3572250.0,1.0,13.92,17.4,0,20.0
16,123.59,3.15,1584133.47,2.41,-487219.0,19.34,2064217.0,1.95,18.15,22.44,0,18.0
17,113.44,3.6,1383189.15,2.69,-464216.0,32.52,3452017.0,1.27,24.76,28.08,0,16.0
18,150.67,-99.38,-50175.44,4.54,-2251431.0,14.64,4441018.0,0.74,13.72,16.57,0,17.0
19,2471.06,316.49,15716.91,9.0,-537213.0,2646.12,22646.0,8.88,134.67,3327.75,0,13.0
20,189.15,3.28,1501268.59,1.45,-1879467.0,34.82,2107078.0,1.23,23.05,43.59,0,20.0
21,252.4,13.7,364187.16,1.34,-3670221.0,29.41,2407124.0,0.82,12.5,27.8,0,5.0
22,165.73,4.16,1198156.12,2.46,-571015.0,38.28,1261479.0,2.38,23.3,38.62,0,11.0
23,194.53,7.78,628077.67,3.01,-927681.0,4.16,1052226.0,2.39,6.07,11.8,0,8.0
24,225.52,3.73,1334239.1,1.6,-1771489.0,49.96,1410647.0,1.57,22.14,49.92,0,20.0
25,105.98,2.67,1867837.73,2.52,-113608.0,23.44,1898615.0,2.48,0.0,0.0,0,21.0
26,335.4,-14.61,-339570.43,3.51,-1267072.0,137.77,741204.0,1.99,55.96,189.86,0,4.0
27,286.12,10.09,493534.89,3.29,-886392.0,81.74,548848.0,3.17,40.47,115.79,0,6.0
28,180.16,3.63,1363386.77,2.69,-477312.0,8.81,1116446.0,2.46,7.76,10.17,0,9.0
29,208.47,27.17,179437.14,4.11,-988796.0,-0.06,928772.0,2.52,5.56,11.6,0,21.0
30,167.36,15.16,320025.04,7.81,-403558.0,8.68,598765.0,4.84,8.4,12.0,0,11.0
31,276.64,10.42,468286.93,2.42,-2152483.0,7.65,1232562.0,1.43,5.22,9.54,1,19.0
32,369.11,13.55,367706.18,3.59,-392343.0,25.67,379366.0,3.56,10.31,38.07,0,15.0
33,115.49,1.6,3085047.63,1.32,-798578.0,10.66,5154155.0,0.83,11.03,12.44,0,18.0
34,163.1,13.57,367025.02,6.52,-188753.0,1.1,639616.0,4.77,1.39,2.25,0,21.0
35,114.84,2.98,1668383.2,2.58,-33089.0,14.34,1804644.0,2.4,15.23,17.42,0,21.0
36,184.56,7.97,624949.09,4.98,-375467.0,37.42,641275.0,4.21,20.48,29.99,0,20.0
37,151.6,7.63,652211.51,1.82,-2379341.0,2.92,7322384.0,0.45,0.18,0.23,0,20.0
38,111.19,7.35,677541.2,4.35,-464229.0,1.78,4179384.0,1.07,2.36,2.63,0,20.0
39,233.42,27.59,179262.99,9.49,-362628.0,18.33,271672.0,7.8,13.88,30.13,0,20.0
40,118.25,3.61,1306297.73,2.92,442471.0,26.78,1675369.0,2.38,32.0,37.84,1,5.0
41,139.04,3.02,1627994.22,2.12,99332.0,15.2,1761026.0,2.01,13.13,18.26,0,19.0
42,112.0,2.53,1931226.6,2.17,-320587.0,24.69,2669716.0,1.64,27.28,30.56,0,20.0
43,169.29,49.8,99049.22,7.39,-562703.0,18.72,1482485.0,1.96,13.09,16.92,0,1.0
44,149.3,3.92,1097213.67,2.45,-13073.0,32.55,1326501.0,2.17,-20.09,-30.0,0,15.0
45,191.7,14.09,353297.59,6.38,-692473.0,10.1,791275.0,3.28,5.35,7.45,0,20.0
46,243.48,7.4,620185.37,3.25,-1123739.0,18.74,1364473.0,1.38,13.15,17.27,1,15.0
47,126.89,3.5,1415213.54,2.66,380417.0,35.3,1666525.0,2.34,33.78,42.87,0,21.0
48,117.38,4.51,1096885.79,3.71,535844.0,18.2,1359410.0,3.1,19.05,22.36,0,20.0
49,125.65,3.65,1309922.85,2.67,-479223.0,1.8,1867320.0,2.03,0.19,0.24,0,20.0
50,216.85,3.89,1256013.19,1.23,-2879237.0,1.71,2462802.0,0.92,0.36,0.74,0,20.0
51,129.47,4.82,1026570.1,2.9,-613794.0,9.75,2304766.0,1.66,7.52,9.74,0,20.0
52,154.5,5.26,945540.07,3.39,-522014.0,45.31,957418.0,3.36,28.74,44.4,0,19.0
53,207.26,5.3,937300.46,2.33,-1198103.0,61.8,1116436.0,2.15,29.74,61.64,0,16.0
54,129.33,5.61,885390.28,4.13,514461.0,89.54,1082174.0,3.55,86.08,111.32,0,5.0
55,319.58,17.1,290780.62,5.17,-190059.0,79.35,305369.0,5.09,24.95,79.73,0,8.0
56,111.24,4.84,1003845.46,3.49,20622.0,9.32,3470300.0,1.26,8.68,9.65,0,19.0
57,138.92,1.57,3070095.4,1.3,351657.0,2.24,6270498.0,0.55,1.99,2.15,0,13.0
58,100.64,0.01,1404977.52,0.01,-8968.0,38.98,1399165.0,0.01,38.73,38.73,0,20.0
59,195.96,4.24,1172286.63,2.08,-1214179.0,0.75,1264656.0,2.0,0.7,1.36,0,13.0
60,180.37,4.02,1208537.41,2.14,-887892.0,18.32,1357858.0,1.98,13.15,23.26,0,18.0
61,150.14,5.03,987887.09,3.29,-522803.0,75.69,1042151.0,3.17,60.43,90.73,0,3.0
62,234.01,10.12,488197.2,4.19,-462856.0,97.93,515563.0,4.09,52.53,122.92,0,20.0
63,148.83,7.95,606186.96,3.78,-714708.0,0.0,2227555.0,1.45,15.74,19.72,0,13.0
64,264.05,0.65,7046498.83,0.59,-3974715.0,5.45,3844222.0,0.45,3.61,3.87,0,1.0
65,202.85,6.54,742007.28,2.42,-955751.0,0.27,1510751.0,1.58,2.48,4.2,0,8.0
66,214.1,4.08,1214184.55,2.39,-3209270.0,36.69,2811332.0,0.82,18.93,22.08,0,20.0
67,155.33,5.63,849332.15,2.58,-964652.0,-5.24,3567709.0,0.86,-3.32,-4.06,0,21.0
68,145.6,2.61,1889597.24,1.86,70411.0,46.19,2546530.0,1.33,39.73,49.97,0,10.0
69,137.59,6.95,689170.6,3.39,-673631.0,1.5,2292357.0,1.52,1.72,2.23,0,18.0
70,193.08,12.35,393220.37,5.85,-437486.0,35.56,469778.0,5.35,24.13,46.59,0,9.0
71,129.45,2.77,1775418.98,1.68,359123.0,5.69,4658808.0,0.81,5.22,6.44,0,20.0
72,116.4,5.4,918846.56,4.61,-158189.0,23.31,964201.0,4.42,23.49,27.34,0,19.0
73,394.29,22.79,216360.53,4.3,-895642.0,47.09,317028.0,3.94,14.32,55.73,1,21.0
74,224.81,20.07,246597.2,4.93,-811360.0,91.81,649734.0,3.39,41.5,86.09,0,21.0
75,141.62,2.23,2221740.11,1.67,-313454.0,11.4,2248813.0,1.56,17.71,23.18,0,13.0
76,168.64,6.96,704320.19,3.82,-581023.0,36.54,846023.0,3.44,29.77,50.2,0,10.0
77,131.69,5.87,798803.73,3.35,-600259.0,45.34,1893028.0,1.88,34.72,45.73,0,18.0
78,114.4,0.13,4259360.95,0.11,-625483.0,90.43,4342373.0,0.11,86.69,99.17,0,21.0
79,195.82,6.68,731121.05,2.4,-2088237.0,13.96,2223372.0,1.12,9.41,13.42,0,19.0
80,119.7,3.68,1344520.6,2.76,-447476.0,8.47,2270744.0,1.82,9.21,11.03,0,21.0
81,132.73,8.51,577441.04,6.15,-90028.0,4.27,727437.0,5.09,4.69,6.09,0,14.0
82,220.88,6.03,821684.28,3.12,-898381.0,79.05,742852.0,3.02,44.02,82.49,0,17.0
83,144.79,3.34,1477383.58,1.73,-1375381.0,-1.84,3069389.0,1.11,-0.5,-0.73,0,12.0
84,105.8,0.3,16488935.15,0.28,14658191.0,7.95,16491320.0,0.28,8.4,8.85,0,14.0
85,149.05,5.18,937169.71,2.79,-1750540.0,4.18,3566941.0,0.91,3.64,4.29,0,20.0
86,144.45,3.31,1488099.0,2.33,-588229.0,5.48,2427920.0,1.41,4.94,6.03,0,14.0
87,187.28,17.53,282728.53,8.38,-309015.0,96.96,353863.0,7.48,51.73,96.88,0,20.0
88,179.02,9.23,531979.37,3.76,-773296.0,3.05,978110.0,2.8,0.0,0.0,0,21.0
89,113.23,0.97,3971635.59,0.85,2618020.0,22.22,4388363.0,0.78,23.41,26.48,0,19.0
90,116.54,4.26,1146350.77,2.31,-678841.0,10.27,5844614.0,0.72,8.84,10.3,0,17.0
91,191.95,6.06,815020.04,3.11,-596899.0,188.62,843730.0,3.05,98.51,189.09,0,7.0
92,144.03,8.46,585093.39,3.43,201185.0,53.65,2059525.0,1.67,40.49,56.94,0,1.0
93,144.14,23.96,206051.31,7.36,-440948.0,-21.12,1180848.0,2.9,-14.65,-20.15,1,21.0
94,163.76,5.19,949538.12,3.14,-618277.0,21.94,969235.0,3.1,21.11,34.56,0,20.0
95,119.11,2.84,1612731.13,2.02,-756934.0,22.03,3958671.0,0.97,18.8,21.85,0,18.0
96,216.34,-38.42,-128519.5,3.35,-2334888.0,28.34,2260615.0,1.01,19.35,28.78,0,20.0
97,208.16,3.8,1302017.23,1.82,-276387.0,0.71,1310854.0,1.81,1.24,2.58,0,19.0
98,115.68,2.3,2075849.41,1.5,-886704.0,-12.38,7771527.0,0.53,-10.72,-12.22,0,20.0
99,155.14,3.03,1621466.04,1.69,-484024.0,32.19,2430575.0,1.3,25.1,38.03,0,9.0
100,113.82,3.76,1314248.36,3.3,-184570.0,40.54,1334718.0,3.25,43.23,49.21,0,21.0
101,231.54,22.59,216482.13,5.0,-1041041.0,20.76,791022.0,2.67,12.9,22.07,0,19.0
102,385.08,14.8,334366.79,3.84,-746859.0,19.7,334203.0,3.84,5.66,21.79,0,7.0
103,184.36,8.8,560609.16,3.19,-943705.0,15.71,1231278.0,2.17,11.48,20.3,0,16.0
104,616.63,21.36,229687.13,3.04,-1385226.0,88.46,267995.0,2.97,23.5,144.93,1,8.0
105,213.85,17.51,276501.86,4.45,-1283333.0,49.81,1164165.0,1.94,19.2,28.5,0,21.0
106,255.14,11.78,419459.88,4.59,-641516.0,21.77,422962.0,4.58,10.76,27.44,0,13.0
107,461.95,9.89,494027.15,2.24,-2203215.0,23.51,639316.0,1.65,8.84,20.56,1,9.0
108,199.83,11.73,420344.29,5.65,-452817.0,34.48,453355.0,5.44,20.91,41.78,0,19.0
109,106.44,0.78,5911076.1,0.76,-1636385.0,8.96,25405937.0,0.17,8.8,8.85,0,19.0
110,271.14,10.89,449639.78,1.65,-2667226.0,25.53,2002377.0,0.9,12.4,23.13,0,12.0
111,110.77,1.93,2552343.0,1.72,1489490.0,36.3,2918073.0,1.53,39.94,44.24,0,20.0
112,184.99,4.06,1158288.26,2.65,-2547330.0,12.45,3454836.0,0.74,7.11,7.88,0,17.0
113,251.03,11.51,423442.01,1.96,-2165001.0,17.54,1459283.0,1.33,11.13,25.51,0,18.0
114,354.85,12.74,387812.16,4.73,-806126.0,46.72,318964.0,4.36,21.15,50.28,0,3.0
115,154.86,6.58,749769.12,3.38,-1136222.0,17.19,2084515.0,1.53,14.9,19.1,0,20.0
116,182.5,9.39,521674.58,5.81,-555718.0,26.37,673270.0,3.98,17.67,23.92,0,3.0
117,138.84,4.42,1110431.58,3.18,-864246.0,15.78,2505703.0,1.41,12.25,13.97,0,20.0
118,120.23,1.83,2643501.14,1.52,623647.0,20.02,2661750.0,1.51,17.61,21.18,0,15.0
119,134.18,4.5,615543.27,3.32,-19022.0,2.48,637280.0,3.24,3.38,4.54,0,21.0
120,162.85,6.91,665504.07,3.78,-92888.0,5.76,1009886.0,2.79,1.26,1.9,0,19.0
121,233.02,8.32,584197.5,3.69,-637924.0,15.59,1001231.0,2.08,8.29,12.08,0,15.0
122,110.35,0.62,7871115.74,0.56,6119253.0,11.28,8047105.0,0.55,9.52,10.5,0,21.0
123,145.91,9.54,517386.08,5.3,-283780.0,40.22,941364.0,3.59,38.72,55.43,0,11.0
124,140.43,3.23,1520241.43,2.29,714460.0,41.29,1545053.0,2.26,36.16,50.79,0,10.0
125,144.39,2.35,2013291.88,1.57,-1008168.0,8.65,2269819.0,1.44,7.66,11.06,0,20.0
126,102.55,1.56,3160726.81,1.52,91361.0,23.08,3183541.0,1.51,26.4,27.08,0,18.0
127,110.32,1.06,3839324.74,0.92,-566190.0,9.17,5484961.0,0.67,0.0,0.0,0,20.0
128,129.31,1.44,3420003.45,1.11,-1037279.0,15.96,3536825.0,1.08,11.89,15.37,0,21.0
129,214.71,25.74,190907.45,11.76,-226899.0,96.76,197706.0,11.57,44.36,95.23,0,21.0
130,424.02,5.5,893012.97,1.6,-1448571.0,-1.16,746671.0,1.55,4.62,14.79,0,6.0
131,208.73,4.9,1006534.38,2.31,-658185.0,74.86,1039746.0,2.27,39.4,82.25,0,16.0
132,124.81,2.34,2085774.25,1.85,2395.0,5.16,2264192.0,1.73,6.32,7.88,0,16.0
133,289.13,10.96,448480.18,3.74,-743859.0,32.72,456366.0,3.72,15.62,45.15,0,5.0
134,152.77,6.62,721231.57,1.74,-1446864.0,0.69,6046041.0,0.52,0.8,1.02,0,19.0
135,163.85,1.95,2402121.56,1.17,-1593735.0,41.17,2581161.0,1.11,31.34,50.14,0,20.0
136,190.38,30.57,123253.0,4.35,-743222.0,11.48,821881.0,2.41,7.63,14.53,0,21.0
137,169.7,10.39,474770.06,5.72,-106969.0,51.71,666245.0,4.36,40.43,61.49,0,9.0
138,161.46,6.89,713262.0,3.61,-521050.0,36.46,1419119.0,2.14,27.54,38.34,0,18.0
139,158.94,4.68,1049082.77,2.9,112562.0,24.33,1096523.0,2.82,22.33,35.49,0,9.0
140,643.81,32.36,152164.47,4.67,-724545.0,0.0,165669.0,4.61,19.77,127.31,0,18.0
141,389.81,10.09,488660.43,2.57,-1238048.0,58.59,492180.0,2.57,19.13,74.58,0,5.0
142,184.81,4.12,1191683.44,3.04,-571055.0,0.0,937811.0,2.83,17.29,22.88,0,17.0
143,135.13,4.96,980977.04,2.8,30485.0,1.15,2696544.0,1.34,2.64,3.33,0,8.0
144,214.14,3.73,1299823.21,2.03,-1844532.0,13.84,1615279.0,1.4,11.46,16.76,0,21.0
145,112.45,2.48,1990448.16,2.15,629495.0,22.33,2438144.0,1.8,24.11,27.11,0,17.0
146,351.82,21.37,229348.73,4.42,-1109439.0,18.64,446496.0,3.12,9.55,21.66,0,20.0
147,518.97,3.47,1395215.56,1.38,-3351745.0,12.62,800484.0,1.17,4.23,8.57,0,10.0
148,111.88,3.26,1501798.48,2.77,196747.0,12.09,2232093.0,1.96,13.59,15.21,0,21.0
149,162.28,10.31,475731.14,5.05,-421625.0,5.71,794616.0,3.8,5.98,9.7,1,9.0
150,133.73,2.76,1778777.57,1.98,-305472.0,11.51,2078838.0,1.76,11.1,14.84,0,9.0
151,210.88,3.82,1245967.46,2.1,-1582784.0,3.5,1451361.0,1.55,4.55,6.81,0,17.0
152,309.51,9.54,515943.28,2.99,-1124582.0,27.72,539748.0,2.94,11.64,36.02,0,13.0
153,147.63,3.97,1238810.5,3.97,-1072892.0,61.62,2251454.0,1.48,51.4,51.4,0,11.0
154,162.24,5.13,949688.28,2.49,-781118.0,53.57,1625551.0,1.85,41.04,66.58,0,7.0
155,493.26,4.89,1000184.06,1.63,-2994297.0,15.86,761031.0,1.3,5.11,10.95,0,20.0
156,390.61,33.1,148613.25,8.47,-431883.0,32.13,148540.0,8.47,10.5,41.02,0,10.0
157,119.63,5.94,818677.19,5.1,-187915.0,19.08,956924.0,4.24,15.31,17.34,0,21.0
158,123.48,7.83,611541.62,6.07,41913.0,27.02,757377.0,5.12,22.15,27.35,0,19.0
159,169.3,3.96,1219466.35,2.08,444733.0,29.29,1614933.0,1.76,17.3,29.0,0,17.0
160,143.58,5.98,821455.54,3.24,-331058.0,14.0,1912464.0,1.79,12.79,17.1,0,15.0
161,127.05,4.08,1174925.21,2.8,19089.0,-4.18,2156065.0,1.75,-3.35,-4.16,0,21.0
162,173.56,3.38,1446528.36,1.72,-1348783.0,21.05,1930191.0,1.46,16.84,28.89,0,20.0
163,117.67,3.26,1505981.15,2.63,1205754.0,61.48,2053544.0,2.03,16.02,18.86,0,21.0
164,239.32,3.54,1376126.08,1.8,-1639505.0,60.24,1190544.0,1.71,26.29,49.38,0,5.0
165,328.4,10.68,458061.62,2.48,-1554670.0,70.68,680351.0,2.19,22.14,68.61,0,20.0
166,108.55,1.99,2226245.76,1.74,913494.0,27.51,4076375.0,1.0,27.8,30.02,0,9.0
167,198.26,3.7,1258276.91,1.4,-2573460.0,9.72,2660866.0,0.88,6.04,9.95,0,21.0
168,235.98,1.85,2585744.96,1.41,-1399083.0,30.18,2197224.0,0.92,16.59,19.59,0,10.0
169,116.47,3.46,1414897.22,2.73,113647.0,32.95,2309080.0,1.82,34.78,40.5,0,13.0
170,131.36,5.56,872653.72,3.84,388955.0,96.11,1247708.0,2.96,73.24,96.21,0,21.0
171,156.22,3.63,1350978.0,2.0,-279411.0,5.67,1980238.0,1.59,4.25,6.62,0,19.0
172,203.6,5.94,819941.22,2.58,-1066966.0,36.47,1029435.0,2.32,17.82,36.27,0,15.0
173,139.99,11.41,429217.16,7.5,-231208.0,44.97,577850.0,6.05,41.67,57.59,0,19.0
174,131.82,1.59,2987974.09,1.17,-1369725.0,3.97,4695093.0,0.77,4.6,5.58,0,19.0
175,148.4,2.86,1710237.73,1.94,-834849.0,23.49,1735188.0,1.9,16.9,24.71,0,13.0
176,135.92,3.5,1271060.17,2.48,-202530.0,20.0,1463127.0,2.24,18.21,24.75,0,21.0
177,154.23,9.96,490482.84,6.18,-299943.0,44.19,552814.0,5.73,28.65,44.19,0,20.0
178,134.0,16.24,301860.48,7.4,-360739.0,6.83,1060523.0,3.45,6.57,8.8,0,18.0
179,245.61,71.75,67760.58,5.36,-869373.0,117.86,596749.0,3.32,0.0,0.0,0,21.0
180,129.76,2.8,1721801.28,2.14,92040.0,113.12,1786822.0,2.08,87.54,113.59,0,19.0
181,185.96,12.73,383818.38,4.79,-623937.0,12.87,739168.0,3.55,8.07,15.0,0,17.0
182,172.29,4.51,992100.18,2.03,-4675114.0,1.69,7861893.0,0.33,1.53,1.68,0,20.0
183,369.19,12.63,387448.2,2.65,-1946762.0,19.05,722826.0,1.83,0.0,0.0,1,21.0
184,127.34,4.13,1182408.32,3.2,-343365.0,88.82,1255067.0,3.05,85.34,108.68,0,10.0
185,147.86,2.3,2125940.42,1.52,-837172.0,7.55,2397838.0,1.38,5.22,7.56,0,12.0
186,145.58,1.94,2465989.96,1.14,-4170151.0,0.87,9811108.0,0.33,0.07,0.08,0,15.0
187,152.17,-51.01,-95363.12,0.89,-4749320.0,1.03,10684060.0,0.3,-0.82,-1.25,1,20.0
188,280.96,21.94,223209.14,6.82,-494823.0,11.81,273311.0,6.38,4.81,13.52,0,8.0
189,201.04,10.85,450904.64,5.04,-125488.0,81.43,514271.0,4.73,51.61,103.76,0,3.0
190,765.34,10.21,479269.84,3.14,-774319.0,22.15,204440.0,3.13,3.6,11.54,0,10.0
191,122.41,8.88,549211.5,4.7,-801702.0,1.95,5652132.0,0.7,2.27,2.45,0,21.0
192,169.13,12.08,392613.43,4.97,-168049.0,15.12,914854.0,3.06,11.22,17.62,0,20.0
193,245.8,9.09,525480.58,1.93,-2113885.0,5.71,1449093.0,1.34,6.48,14.27,0,7.0
194,177.99,18.99,256909.34,7.33,-89616.0,11.36,523440.0,5.23,5.72,10.18,0,21.0
195,138.76,5.48,893122.59,3.69,178080.0,71.84,1114879.0,3.16,64.36,89.3,0,6.0
196,189.25,2.67,1832454.44,1.65,-1442588.0,6.76,1640613.0,1.57,8.51,13.38,0,21.0
197,198.38,6.21,784194.88,3.06,-735847.0,32.22,818789.0,3.0,19.75,39.17,0,3.0
198,196.0,8.89,550444.19,4.5,-523702.0,8.3,559308.0,4.46,4.31,8.45,0,10.0
199,292.29,11.27,432145.94,4.35,-72466.0,12.78,400462.0,4.16,6.36,15.37,0,20.0
200,128.33,5.46,894626.3,3.61,97313.0,19.64,1620784.0,2.35,15.31,19.65,0,21.0
201,209.86,14.41,338694.01,4.23,-751972.0,51.58,787448.0,2.95,25.0,49.28,0,8.0
202,132.5,3.92,1245564.98,2.92,-428250.0,12.19,1317000.0,2.8,11.29,14.96,0,7.0
203,259.02,4.45,1067708.91,1.36,-1832164.0,7.74,1532707.0,1.2,3.23,8.37,0,21.0
204,111.94,3.55,1374504.76,3.14,-83394.0,52.41,1485015.0,2.93,48.83,54.66,0,7.0
205,210.85,13.75,325333.57,2.34,-1394678.0,29.36,1659705.0,1.28,2.52,4.61,0,20.0
206,234.36,2.71,1797956.95,1.9,-1505591.0,36.86,1120028.0,1.86,22.02,31.06,0,13.0
207,107.76,3.66,1325833.45,3.31,-140813.0,29.34,1813416.0,2.48,32.92,35.48,0,21.0
208,230.78,3.77,1131570.49,1.04,-1822216.0,3.39,3518785.0,0.52,1.32,2.07,0,21.0
209,212.66,12.22,397065.66,5.29,-304083.0,-11.05,461591.0,4.94,-3.82,-8.12,1,20.0
210,229.94,14.97,326178.64,6.1,-560823.0,4.05,468840.0,4.53,1.9,3.38,0,19.0
211,202.22,3.07,1546069.83,2.11,-1766388.0,5.71,1727214.0,1.36,5.11,6.38,1,21.0
212,213.81,7.6,637379.46,3.3,-53308.0,12.3,759607.0,2.98,7.64,15.66,0,21.0
213,168.8,2.26,2143644.93,1.28,-969628.0,32.63,2406895.0,1.19,25.24,42.41,0,4.0
214,212.93,8.59,411174.76,3.14,-441004.0,-3.06,732691.0,2.26,-1.21,-2.24,0,21.0
215,123.74,11.97,402300.28,7.78,-216471.0,8.95,911250.0,4.27,8.24,10.2,0,19.0
216,294.57,12.62,386390.2,5.27,-614248.0,5.28,315543.0,5.24,3.11,7.4,0,11.0
217,149.18,2.67,1826068.63,1.77,-8283.0,9.74,1837303.0,1.74,8.2,12.24,0,20.0
218,505.67,20.48,237045.58,3.85,-473109.0,63.76,252019.0,3.81,14.34,72.5,0,16.0
219,190.96,7.84,620641.43,4.01,-294054.0,2.73,649411.0,3.92,0.06,0.11,0,18.0
220,179.94,4.29,1031944.23,1.46,-2331728.0,3.31,2915425.0,0.84,1.54,2.49,0,21.0
221,147.31,7.86,606715.29,3.11,-1100042.0,-7.32,2323876.0,1.39,-4.1,-5.62,1,20.0
222,190.18,10.44,449677.53,3.88,-2764375.0,3.95,3512121.0,0.7,2.43,2.74,0,19.0
223,104.74,2.31,2109060.08,2.2,818867.0,12.23,2206168.0,2.11,13.33,13.96,0,18.0
224,458.34,41.93,113893.47,4.58,-937651.0,119.52,261539.0,3.98,26.4,117.03,1,11.0
225,122.47,3.11,1562673.48,2.02,737590.0,1.55,2098628.0,1.89,1.22,1.82,0,10.0
226,161.99,5.09,956042.81,3.27,-10509.0,20.09,1299572.0,2.31,15.5,20.77,0,9.0
227,154.93,7.35,662221.36,5.08,-211584.0,3.75,854673.0,3.67,3.72,4.78,0,17.0
228,533.88,17.41,278609.56,3.15,-888790.0,98.53,290770.0,3.12,21.46,114.59,0,6.0
229,203.48,9.24,522776.18,3.65,-801227.0,2.86,773907.0,3.06,4.06,8.27,0,15.0
230,112.44,4.7,1021012.76,3.25,-457477.0,6.35,3676866.0,1.16,6.64,7.47,0,21.0
231,126.97,3.4,1409172.31,2.58,172262.0,15.89,3096075.0,1.22,14.77,16.69,0,19.0
232,235.21,4.77,1013292.09,1.95,-1071269.0,8.74,1079032.0,1.9,5.72,13.46,0,20.0
233,132.55,4.38,1103274.9,3.15,9790.0,47.65,1355818.0,2.69,40.7,53.57,0,8.0
234,210.36,33.41,145704.64,5.43,-687229.0,17.32,679373.0,3.4,7.15,15.04,0,4.0
235,191.9,3.21,1510118.56,1.71,-1753388.0,23.56,1907020.0,1.32,15.27,23.98,0,13.0
236,159.03,2.5,1931650.64,1.45,-1401218.0,9.73,2372479.0,1.28,7.59,12.07,0,19.0
237,138.52,8.4,562323.17,1.71,-1816734.0,2.24,6479958.0,0.53,1.02,1.36,0,21.0
238,190.42,6.11,745249.42,2.64,-1389680.0,14.81,2481129.0,0.96,10.83,13.65,0,21.0
239,244.85,8.1,600882.67,3.28,-30276.0,127.37,608092.0,3.27,65.01,159.18,0,12.0
240,191.7,7.76,622012.52,3.83,-242189.0,13.61,695880.0,3.62,7.19,13.78,0,6.0
241,262.0,5.05,962428.96,1.91,-1504901.0,26.81,975506.0,1.9,11.26,29.34,0,15.0
242,151.98,24.53,193806.06,5.29,87196.0,15.52,718473.0,4.35,12.12,34.21,0,19.0
243,219.69,6.44,754443.24,2.31,-1347806.0,10.55,1125555.0,1.96,7.25,15.94,0,19.0
244,150.3,11.19,434059.31,6.92,52771.0,49.24,547427.0,5.9,33.68,49.92,0,20.0
245,143.25,4.62,1011212.35,2.74,-74580.0,11.22,1605351.0,2.03,10.63,15.23,0,21.0
246,136.84,5.37,889751.92,3.21,-394790.0,15.51,2494382.0,1.41,14.57,17.68,0,19.0
247,275.22,3.62,1302747.81,2.3,-1146317.0,29.6,845291.0,2.03,15.46,22.78,0,18.0
248,128.12,3.83,1267337.06,3.07,-451986.0,21.31,1606435.0,2.36,22.76,26.87,0,11.0
249,186.34,10.79,450093.86,4.87,-502697.0,23.72,632971.0,4.12,17.91,33.37,0,4.0
250,108.24,3.41,1426667.56,3.12,28745.0,27.58,1604376.0,2.8,25.48,27.58,0,21.0
251,395.33,19.49,249032.55,3.9,-995402.0,36.39,336885.0,3.64,9.49,37.48,0,9.0
252,122.53,1.22,3930592.38,1.02,-318380.0,3.76,7676569.0,0.51,2.86,3.11,0,21.0
253,134.71,4.66,1037034.53,3.37,-398494.0,12.8,1147460.0,3.13,11.7,15.77,0,12.0
254,231.24,4.66,1014776.85,2.69,-2763200.0,20.89,2505955.0,0.82,11.8,13.54,0,20.0
255,291.98,10.11,479521.06,3.3,-918672.0,69.08,515247.0,3.22,26.82,78.32,0,4.0
256,173.51,6.63,732562.85,3.26,-430152.0,26.35,1026600.0,2.72,19.33,33.54,0,18.0
257,143.32,6.87,688164.56,4.57,-346228.0,9.46,798836.0,4.12,7.8,11.18,0,9.0
